feature,importance
num__Age,0.22
num__NumOfProducts,0.21
num__IsActiveMember,0.07
num__Balance,0.03
num__CreditScore,0.03
num__EstimatedSalary,0.01
num__HasCrCard,0.00
num__Tenure,0.00
